event_id,timestamp,camera_id,species_key,common_name,confidence,confidence_calibrated,temporal_prior,softmax_entropy,review_required,burst_group_id,antler_classification
IE-CAM-F02-turkey-000502,2025-03-02T12:12:34,CAM-F02,turkey,Wild Turkey,0.886,0.8459,0.6357,0.5135,False,BG-CAM-F02-20250302121234,
IE-CAM-F02-feral_hog-000368,2025-03-02T17:04:49,CAM-F02,feral_hog,Feral Hog,0.8911,0.8521,0.3526,0.5845,False,BG-CAM-F02-20250302170449,
IE-CAM-W01-feral_hog-003102,2025-03-03T01:29:15,CAM-W01,feral_hog,Feral Hog,0.8243,0.7748,0.9933,0.5344,False,BG-CAM-W01-20250303012915,
IE-CAM-O01-coyote-000956,2025-03-03T02:44:05,CAM-O01,coyote,Coyote,0.8492,0.8029,0.8861,0.516,False,BG-CAM-O01-20250303024405,
IE-CAM-P01-white_tailed_deer-001382,2025-03-03T07:06:43,CAM-P01,white_tailed_deer,White-tailed Deer,0.9025,0.8659,0.9956,0.3952,False,BG-CAM-P01-20250303070643,
IE-CAM-P01-white_tailed_deer-001383,2025-03-03T11:40:25,CAM-P01,white_tailed_deer,White-tailed Deer,0.8897,0.8504,0.7665,0.4757,False,BG-CAM-P01-20250303114025,
IE-CAM-P01-raccoon-001271,2025-03-03T14:37:52,CAM-P01,raccoon,Raccoon,0.8745,0.8323,0.1916,0.6477,True,BG-CAM-P01-20250303143752,
IE-CAM-F01-white_tailed_deer-000256,2025-03-03T18:46:39,CAM-F01,white_tailed_deer,White-tailed Deer,0.9648,0.9464,0.9991,0.2093,False,BG-CAM-F01-20250303184639,
IE-CAM-F03-raccoon-000756,2025-03-03T22:57:16,CAM-F03,raccoon,Raccoon,0.8791,0.8377,0.9685,0.45,False,BG-CAM-F03-20250303225716,
IE-CAM-F02-raccoon-000454,2025-03-03T23:45:28,CAM-F02,raccoon,Raccoon,0.949,0.9249,0.9982,0.2673,False,BG-CAM-F02-20250303234528,
IE-CAM-F03-red_fox-000812,2025-03-04T05:25:31,CAM-F03,red_fox,Red Fox,0.7602,0.7053,0.9783,0.6083,True,BG-CAM-F03-20250304052531,
IE-CAM-T01-bobcat-002548,2025-03-04T05:40:03,CAM-T01,bobcat,Bobcat,0.8643,0.8204,0.9979,0.4712,False,BG-CAM-T01-20250304054003,
IE-CAM-F02-feral_hog-000369,2025-03-04T11:46:20,CAM-F02,feral_hog,Feral Hog,0.858,0.8131,0.306,0.6263,True,BG-CAM-F02-20250304114620,
IE-CAM-F03-white_tailed_deer-000818,2025-03-04T17:20:44,CAM-F03,white_tailed_deer,White-tailed Deer,0.9377,0.9101,0.9835,0.3075,False,BG-CAM-F03-20250304172044,
IE-CAM-T02-white_tailed_deer-002953,2025-03-04T18:42:30,CAM-T02,white_tailed_deer,White-tailed Deer,0.928,0.8977,0.9995,0.3303,False,BG-CAM-T02-20250304184230,
IE-CAM-O01-raccoon-000975,2025-03-04T21:01:57,CAM-O01,raccoon,Raccoon,0.9034,0.867,0.7766,0.4483,False,BG-CAM-O01-20250304210157,
IE-CAM-T01-armadillo-002513,2025-03-04T22:07:01,CAM-T01,armadillo,Nine-banded Armadillo,0.905,0.8689,0.8673,0.4218,False,BG-CAM-T01-20250304220701,
IE-CAM-T02-feral_hog-002833,2025-03-04T23:47:07,CAM-T02,feral_hog,Feral Hog,0.8676,0.8242,0.9587,0.4729,False,BG-CAM-T02-20250304234707,
IE-CAM-F02-feral_hog-000370,2025-03-05T02:17:21,CAM-F02,feral_hog,Feral Hog,0.9548,0.9327,0.9542,0.2635,False,BG-CAM-F02-20250305021721,
IE-CAM-W02-white_tailed_deer-003502,2025-03-05T04:02:41,CAM-W02,white_tailed_deer,White-tailed Deer,0.9012,0.8643,0.9309,0.4138,False,BG-CAM-W02-20250305040241,
IE-CAM-F02-white_tailed_deer-000545,2025-03-05T12:41:18,CAM-F02,white_tailed_deer,White-tailed Deer,0.9269,0.8963,0.728,0.4146,False,BG-CAM-F02-20250305124118,
IE-CAM-T02-white_tailed_deer-002954,2025-03-05T19:23:02,CAM-T02,white_tailed_deer,White-tailed Deer,0.9391,0.9119,0.9905,0.3012,False,BG-CAM-T02-20250305192302,
IE-CAM-T02-coyote-002802,2025-03-05T21:30:02,CAM-T02,coyote,Coyote,0.7583,0.7033,0.924,0.615,True,BG-CAM-T02-20250305213002,
IE-CAM-P01-armadillo-001213,2025-03-05T22:50:16,CAM-P01,armadillo,Nine-banded Armadillo,0.8134,0.7627,0.9319,0.5571,False,BG-CAM-P01-20250305225016,
IE-CAM-W02-feral_hog-003363,2025-03-05T23:11:28,CAM-W02,feral_hog,Feral Hog,0.8543,0.8088,0.9112,0.5037,False,BG-CAM-W02-20250305231128,
IE-CAM-T01-raccoon-002612,2025-03-05T23:31:08,CAM-T01,raccoon,Raccoon,0.8164,0.766,0.9932,0.545,False,BG-CAM-T01-20250305233108,
IE-CAM-P01-raccoon-001272,2025-03-06T00:01:10,CAM-P01,raccoon,Raccoon,0.9544,0.9322,1.0,0.2479,False,BG-CAM-P01-20250306000110,
IE-CAM-P01-armadillo-001214,2025-03-06T01:14:09,CAM-P01,armadillo,Nine-banded Armadillo,0.7921,0.7394,0.9863,0.5753,False,BG-CAM-P01-20250306011409,
IE-CAM-P01-raccoon-001273,2025-03-06T03:39:45,CAM-P01,raccoon,Raccoon,0.8895,0.8501,0.6884,0.4951,False,BG-CAM-P01-20250306033945,
IE-CAM-T02-raccoon-002873,2025-03-06T04:18:48,CAM-T02,raccoon,Raccoon,0.8542,0.8087,0.6011,0.5632,False,BG-CAM-T02-20250306041848,
IE-CAM-T01-white_tailed_deer-002640,2025-03-06T05:38:27,CAM-T01,white_tailed_deer,White-tailed Deer,0.9034,0.867,0.9908,0.3943,False,BG-CAM-T01-20250306053827,
IE-CAM-T01-white_tailed_deer-002641,2025-03-06T06:53:59,CAM-T01,white_tailed_deer,White-tailed Deer,0.8823,0.8415,0.9982,0.4376,False,BG-CAM-T01-20250306065359,
IE-CAM-T02-feral_hog-002834,2025-03-06T11:20:42,CAM-T02,feral_hog,Feral Hog,0.9129,0.8787,0.3087,0.5765,False,BG-CAM-T02-20250306112042,
IE-CAM-O01-white_tailed_deer-000988,2025-03-06T18:24:36,CAM-O01,white_tailed_deer,White-tailed Deer,0.9074,0.8719,0.9999,0.3828,False,BG-CAM-O01-20250306182436,
IE-CAM-P01-white_tailed_deer-001384,2025-03-06T19:01:47,CAM-P01,white_tailed_deer,White-tailed Deer,0.9279,0.8975,0.9967,0.3315,False,BG-CAM-P01-20250306190147,
IE-CAM-P01-raccoon-001274,2025-03-06T20:59:20,CAM-P01,raccoon,Raccoon,0.9371,0.9093,0.7723,0.3773,False,BG-CAM-P01-20250306205920,
IE-CAM-W01-feral_hog-003103,2025-03-06T21:20:08,CAM-W01,feral_hog,Feral Hog,0.8891,0.8497,0.7027,0.4921,False,BG-CAM-W01-20250306212008,
IE-CAM-F01-feral_hog-000019,2025-03-07T01:42:29,CAM-F01,feral_hog,Feral Hog,0.8899,0.8506,0.986,0.4248,False,BG-CAM-F01-20250307014229,
IE-CAM-W01-raccoon-003198,2025-03-07T02:56:21,CAM-W01,raccoon,Raccoon,0.7943,0.7418,0.7829,0.5976,True,BG-CAM-W01-20250307025621,
IE-CAM-W02-feral_hog-003364,2025-03-07T04:15:31,CAM-W02,feral_hog,Feral Hog,0.8655,0.8218,0.7534,0.5171,False,BG-CAM-W02-20250307041531,
IE-CAM-F01-white_tailed_deer-000257,2025-03-07T09:28:29,CAM-F01,white_tailed_deer,White-tailed Deer,0.8912,0.8522,0.9035,0.4408,False,BG-CAM-F01-20250307092829,
IE-CAM-P01-white_tailed_deer-001385,2025-03-07T09:45:27,CAM-P01,white_tailed_deer,White-tailed Deer,0.9074,0.8719,0.8869,0.4116,False,BG-CAM-P01-20250307094527,
IE-CAM-T02-white_tailed_deer-002955,2025-03-08T06:25:54,CAM-T02,white_tailed_deer,White-tailed Deer,0.9818,0.9706,0.9999,0.1327,False,BG-CAM-T02-20250308062554,
IE-CAM-P02-feral_hog-001581,2025-03-08T06:32:53,CAM-P02,feral_hog,Feral Hog,0.9639,0.9451,0.4987,0.4202,False,BG-CAM-P02-20250308063253,
IE-CAM-F01-turkey-000211,2025-03-08T06:43:48,CAM-F01,turkey,Wild Turkey,0.9264,0.8956,0.9581,0.3468,False,BG-CAM-F01-20250308064348,
IE-CAM-F02-white_tailed_deer-000546,2025-03-08T08:07:21,CAM-F02,white_tailed_deer,White-tailed Deer,0.8702,0.8273,0.9689,0.4662,False,BG-CAM-F02-20250308080721,
IE-CAM-F01-turkey-000212,2025-03-08T08:40:11,CAM-F01,turkey,Wild Turkey,0.9271,0.8965,0.9885,0.336,False,BG-CAM-F01-20250308084011,
IE-CAM-T02-cottontail_rabbit-002792,2025-03-08T17:30:14,CAM-T02,cottontail_rabbit,Eastern Cottontail,0.8269,0.7777,0.9758,0.5333,False,BG-CAM-T02-20250308173014,
IE-CAM-F03-feral_hog-000646,2025-03-09T03:04:33,CAM-F03,feral_hog,Feral Hog,0.8798,0.8386,0.8872,0.4658,False,BG-CAM-F03-20250309030433,
IE-CAM-P02-white_tailed_deer-001623,2025-03-09T04:20:11,CAM-P02,white_tailed_deer,White-tailed Deer,0.9304,0.9007,0.9457,0.3398,False,BG-CAM-P02-20250309042011,
IE-CAM-F01-turkey-000213,2025-03-09T08:18:36,CAM-F01,turkey,Wild Turkey,0.8913,0.8523,0.9977,0.4192,False,BG-CAM-F01-20250309081836,
IE-CAM-P01-turkey-001299,2025-03-09T09:58:28,CAM-P01,turkey,Wild Turkey,0.8929,0.8542,0.9044,0.4373,False,BG-CAM-P01-20250309095828,
IE-CAM-O02-coyote-001081,2025-03-09T18:10:28,CAM-O02,coyote,Coyote,0.8234,0.7738,0.999,0.5348,False,BG-CAM-O02-20250309181028,
IE-CAM-T02-white_tailed_deer-002956,2025-03-09T20:38:40,CAM-T02,white_tailed_deer,White-tailed Deer,0.9441,0.9185,0.9472,0.3001,False,BG-CAM-T02-20250309203840,
IE-CAM-F02-raccoon-000455,2025-03-10T00:56:04,CAM-F02,raccoon,Raccoon,0.8358,0.7877,0.975,0.5209,False,BG-CAM-F02-20250310005604,
IE-CAM-O01-white_tailed_deer-000989,2025-03-10T06:12:44,CAM-O01,white_tailed_deer,White-tailed Deer,0.9396,0.9126,0.9989,0.2968,False,BG-CAM-O01-20250310061244,
IE-CAM-O02-cottontail_rabbit-001075,2025-03-10T07:25:47,CAM-O02,cottontail_rabbit,Eastern Cottontail,0.8233,0.7737,0.9796,0.5377,False,BG-CAM-O02-20250310072547,
IE-CAM-P01-raccoon-001275,2025-03-10T11:00:40,CAM-P01,raccoon,Raccoon,0.9432,0.9173,0.1634,0.6117,True,BG-CAM-P01-20250310110040,
IE-CAM-F02-coyote-000357,2025-03-10T20:57:59,CAM-F02,coyote,Coyote,0.8773,0.8356,0.9478,0.4576,False,BG-CAM-F02-20250310205759,
IE-CAM-P01-white_tailed_deer-001386,2025-03-10T21:09:09,CAM-P01,white_tailed_deer,White-tailed Deer,0.9249,0.8937,0.9212,0.3614,False,BG-CAM-P01-20250310210909,
IE-CAM-O02-armadillo-001044,2025-03-10T21:24:02,CAM-O02,armadillo,Nine-banded Armadillo,0.786,0.7328,0.7896,0.6046,True,BG-CAM-O02-20250310212402,
IE-CAM-W02-feral_hog-003365,2025-03-11T03:44:57,CAM-W02,feral_hog,Feral Hog,0.9093,0.8742,0.8148,0.4266,False,BG-CAM-W02-20250311034457,
IE-CAM-W02-white_tailed_deer-003503,2025-03-11T06:56:03,CAM-W02,white_tailed_deer,White-tailed Deer,0.9662,0.9483,0.9977,0.2044,False,BG-CAM-W02-20250311065603,
IE-CAM-P02-white_tailed_deer-001624,2025-03-11T07:58:27,CAM-P02,white_tailed_deer,White-tailed Deer,0.9854,0.976,0.9742,0.1271,False,BG-CAM-P02-20250311075827,
IE-CAM-F02-white_tailed_deer-000547,2025-03-11T16:11:31,CAM-F02,white_tailed_deer,White-tailed Deer,0.9425,0.9164,0.9384,0.3078,False,BG-CAM-F02-20250311161131,
IE-CAM-T01-white_tailed_deer-002642,2025-03-11T19:05:15,CAM-T01,white_tailed_deer,White-tailed Deer,0.9081,0.8727,0.9958,0.3823,False,BG-CAM-T01-20250311190515,
IE-CAM-W01-axis_deer-003053,2025-03-11T19:21:37,CAM-W01,axis_deer,Axis Deer,0.8011,0.7492,0.9834,0.5653,False,BG-CAM-W01-20250311192137,
IE-CAM-P03-white_tailed_deer-001949,2025-03-11T19:45:18,CAM-P03,white_tailed_deer,White-tailed Deer,0.933,0.9041,0.9811,0.3217,False,BG-CAM-P03-20250311194518,
IE-CAM-W01-white_tailed_deer-003253,2025-03-11T19:52:11,CAM-W01,white_tailed_deer,White-tailed Deer,0.9215,0.8894,0.9775,0.354,False,BG-CAM-W01-20250311195211,
IE-CAM-F02-feral_hog-000371,2025-03-12T01:48:26,CAM-F02,feral_hog,Feral Hog,0.8901,0.8509,0.9818,0.4252,False,BG-CAM-F02-20250312014826,
IE-CAM-P03-white_tailed_deer-001950,2025-03-12T02:36:24,CAM-P03,white_tailed_deer,White-tailed Deer,0.9209,0.8887,0.8466,0.3925,False,BG-CAM-P03-20250312023624,
IE-CAM-F02-feral_hog-000372,2025-03-12T04:15:28,CAM-F02,feral_hog,Feral Hog,0.8815,0.8406,0.7534,0.4925,False,BG-CAM-F02-20250312041528,
IE-CAM-F01-white_tailed_deer-000258,2025-03-12T05:09:55,CAM-F01,white_tailed_deer,White-tailed Deer,0.9093,0.8742,0.9781,0.3839,False,BG-CAM-F01-20250312050955,
IE-CAM-F01-white_tailed_deer-000259,2025-03-12T05:42:37,CAM-F01,white_tailed_deer,White-tailed Deer,0.8642,0.8203,0.9922,0.4724,False,BG-CAM-F01-20250312054237,
IE-CAM-P01-white_tailed_deer-001387,2025-03-12T06:00:56,CAM-P01,white_tailed_deer,White-tailed Deer,0.89,0.8507,0.9969,0.4222,False,BG-CAM-P01-20250312060056,
IE-CAM-T01-red_fox-002629,2025-03-12T06:47:06,CAM-T01,red_fox,Red Fox,0.8789,0.8375,0.9985,0.4441,False,BG-CAM-T01-20250312064706,
IE-CAM-F03-white_tailed_deer-000819,2025-03-12T18:47:26,CAM-F03,white_tailed_deer,White-tailed Deer,0.946,0.921,0.999,0.2767,False,BG-CAM-F03-20250312184726,
IE-CAM-P03-white_tailed_deer-001951,2025-03-12T19:40:35,CAM-P03,white_tailed_deer,White-tailed Deer,0.9344,0.9059,0.9835,0.317,False,BG-CAM-P03-20250312194035,
IE-CAM-O02-raccoon-001115,2025-03-12T23:12:03,CAM-O02,raccoon,Raccoon,0.8774,0.8357,0.9816,0.4505,False,BG-CAM-O02-20250312231203,
IE-CAM-F03-feral_hog-000647,2025-03-13T00:48:56,CAM-F03,feral_hog,Feral Hog,0.8618,0.8175,0.9988,0.4754,False,BG-CAM-F03-20250313004856,
IE-CAM-W01-feral_hog-003104,2025-03-13T01:44:01,CAM-W01,feral_hog,Feral Hog,0.8909,0.8518,0.9847,0.423,False,BG-CAM-W01-20250313014401,
IE-CAM-P02-white_tailed_deer-001625,2025-03-13T07:56:51,CAM-P02,white_tailed_deer,White-tailed Deer,0.8679,0.8246,0.9754,0.4691,False,BG-CAM-P02-20250313075651,
IE-CAM-F02-turkey-000503,2025-03-13T08:21:14,CAM-F02,turkey,Wild Turkey,0.9381,0.9106,0.9968,0.3022,False,BG-CAM-F02-20250313082114,
IE-CAM-P03-turkey-001865,2025-03-13T08:25:50,CAM-P03,turkey,Wild Turkey,0.8821,0.8413,0.9955,0.4385,False,BG-CAM-P03-20250313082550,
IE-CAM-P02-white_tailed_deer-001626,2025-03-13T08:52:17,CAM-P02,white_tailed_deer,White-tailed Deer,0.9461,0.9211,0.9359,0.2979,False,BG-CAM-P02-20250313085217,
IE-CAM-F03-feral_hog-000648,2025-03-13T12:09:04,CAM-F03,feral_hog,Feral Hog,0.9027,0.8661,0.3042,0.5886,False,BG-CAM-F03-20250313120904,
IE-CAM-P01-turkey-001300,2025-03-13T13:15:30,CAM-P01,turkey,Wild Turkey,0.8631,0.819,0.4962,0.5759,False,BG-CAM-P01-20250313131530,
IE-CAM-P01-white_tailed_deer-001388,2025-03-13T17:14:22,CAM-P01,white_tailed_deer,White-tailed Deer,0.9441,0.9185,0.9806,0.2889,False,BG-CAM-P01-20250313171422,
IE-CAM-W02-raccoon-003442,2025-03-13T18:29:33,CAM-W02,raccoon,Raccoon,0.8564,0.8112,0.4496,0.5934,True,BG-CAM-W02-20250313182933,
IE-CAM-F03-white_tailed_deer-000820,2025-03-13T18:36:23,CAM-F03,white_tailed_deer,White-tailed Deer,0.9292,0.8992,0.9999,0.3269,False,BG-CAM-F03-20250313183623,
IE-CAM-P02-axis_deer-001546,2025-03-13T23:46:58,CAM-P02,axis_deer,Axis Deer,0.8926,0.8539,0.7771,0.468,False,BG-CAM-P02-20250313234658,
IE-CAM-F01-feral_hog-000020,2025-03-14T00:45:26,CAM-F01,feral_hog,Feral Hog,0.8099,0.7589,0.9982,0.5526,False,BG-CAM-F01-20250314004526,
IE-CAM-T02-feral_hog-002835,2025-03-14T02:57:34,CAM-T02,feral_hog,Feral Hog,0.8837,0.8432,0.8987,0.4562,False,BG-CAM-T02-20250314025734,
IE-CAM-F01-feral_hog-000021,2025-03-14T04:31:06,CAM-F01,feral_hog,Feral Hog,0.8425,0.7953,0.7209,0.5543,False,BG-CAM-F01-20250314043106,
IE-CAM-O01-white_tailed_deer-000990,2025-03-14T05:53:54,CAM-O01,white_tailed_deer,White-tailed Deer,0.8911,0.8521,0.9953,0.4201,False,BG-CAM-O01-20250314055354,
IE-CAM-P02-white_tailed_deer-001627,2025-03-14T06:14:48,CAM-P02,white_tailed_deer,White-tailed Deer,0.8432,0.7961,0.9991,0.5059,False,BG-CAM-P02-20250314061448,
IE-CAM-W01-coyote-003083,2025-03-14T06:56:36,CAM-W01,coyote,Coyote,0.8934,0.8548,0.9983,0.4147,False,BG-CAM-W01-20250314065636,
IE-CAM-W02-white_tailed_deer-003504,2025-03-14T11:46:09,CAM-W02,white_tailed_deer,White-tailed Deer,0.8794,0.8381,0.7604,0.4943,False,BG-CAM-W02-20250314114609,
IE-CAM-F01-turkey-000214,2025-03-14T13:36:25,CAM-F01,turkey,Wild Turkey,0.9745,0.96,0.4521,0.4188,False,BG-CAM-F01-20250314133625,
IE-CAM-F01-white_tailed_deer-000260,2025-03-14T15:22:59,CAM-F01,white_tailed_deer,White-tailed Deer,0.898,0.8604,0.8938,0.4295,False,BG-CAM-F01-20250314152259,
IE-CAM-T01-white_tailed_deer-002643,2025-03-14T17:24:37,CAM-T01,white_tailed_deer,White-tailed Deer,0.9181,0.8852,0.9853,0.3604,False,BG-CAM-T01-20250314172437,
IE-CAM-O02-raccoon-001116,2025-03-14T21:12:49,CAM-O02,raccoon,Raccoon,0.8965,0.8586,0.7997,0.4554,False,BG-CAM-O02-20250314211249,
IE-CAM-F02-feral_hog-000373,2025-03-14T21:15:33,CAM-F02,feral_hog,Feral Hog,0.9324,0.9033,0.6926,0.4142,False,BG-CAM-F02-20250314211533,
IE-CAM-F01-feral_hog-000022,2025-03-15T02:23:55,CAM-F01,feral_hog,Feral Hog,0.8447,0.7978,0.947,0.5122,False,BG-CAM-F01-20250315022355,
IE-CAM-T01-white_tailed_deer-002644,2025-03-15T06:36:24,CAM-T01,white_tailed_deer,White-tailed Deer,0.9514,0.9281,0.9999,0.2586,False,BG-CAM-T01-20250315063624,
IE-CAM-W01-coyote-003084,2025-03-15T07:23:38,CAM-W01,coyote,Coyote,0.8565,0.8113,0.9928,0.4856,False,BG-CAM-W01-20250315072338,
IE-CAM-T02-armadillo-002737,2025-03-15T07:56:04,CAM-T02,armadillo,Nine-banded Armadillo,0.8908,0.8517,0.3629,0.5817,False,BG-CAM-T02-20250315075604,
IE-CAM-P02-axis_deer-001547,2025-03-15T19:45:41,CAM-P02,axis_deer,Axis Deer,0.8054,0.7539,0.9725,0.5615,False,BG-CAM-P02-20250315194541,
IE-CAM-F02-raccoon-000456,2025-03-15T22:15:08,CAM-F02,raccoon,Raccoon,0.8535,0.8079,0.9153,0.5042,False,BG-CAM-F02-20250315221508,
IE-CAM-F02-raccoon-000457,2025-03-16T01:45:06,CAM-F02,raccoon,Raccoon,0.9422,0.916,0.9153,0.3164,False,BG-CAM-F02-20250316014506,
IE-CAM-P01-white_tailed_deer-001389,2025-03-16T06:10:52,CAM-P01,white_tailed_deer,White-tailed Deer,0.8981,0.8605,0.9986,0.4044,False,BG-CAM-P01-20250316061052,
IE-CAM-T02-white_tailed_deer-002957,2025-03-16T06:20:20,CAM-T02,white_tailed_deer,White-tailed Deer,0.9485,0.9243,0.9997,0.2683,False,BG-CAM-T02-20250316062020,
IE-CAM-W01-white_tailed_deer-003254,2025-03-16T06:21:37,CAM-W01,white_tailed_deer,White-tailed Deer,0.9529,0.9301,0.9997,0.2535,False,BG-CAM-W01-20250316062137,
IE-CAM-F03-white_tailed_deer-000821,2025-03-16T07:34:09,CAM-F03,white_tailed_deer,White-tailed Deer,0.9176,0.8845,0.9862,0.3616,False,BG-CAM-F03-20250316073409,
IE-CAM-P03-turkey-001866,2025-03-16T15:37:49,CAM-P03,turkey,Wild Turkey,0.8864,0.8464,0.2436,0.6232,True,BG-CAM-P03-20250316153749,
IE-CAM-O01-armadillo-000922,2025-03-16T21:05:19,CAM-O01,armadillo,Nine-banded Armadillo,0.7817,0.7282,0.7527,0.6127,True,BG-CAM-O01-20250316210519,
IE-CAM-W02-feral_hog-003366,2025-03-17T00:37:19,CAM-W02,feral_hog,Feral Hog,0.8793,0.838,0.9958,0.4438,False,BG-CAM-W02-20250317003719,
IE-CAM-F02-white_tailed_deer-000548,2025-03-17T05:29:09,CAM-F02,white_tailed_deer,White-tailed Deer,0.9093,0.8742,0.9874,0.3815,False,BG-CAM-F02-20250317052909,
IE-CAM-W01-axis_deer-003054,2025-03-17T06:24:16,CAM-W01,axis_deer,Axis Deer,0.8526,0.8068,0.9967,0.4914,False,BG-CAM-W01-20250317062416,
IE-CAM-F02-turkey-000504,2025-03-17T08:15:59,CAM-F02,turkey,Wild Turkey,0.9262,0.8954,0.9984,0.3355,False,BG-CAM-F02-20250317081559,
IE-CAM-P02-white_tailed_deer-001628,2025-03-17T17:34:22,CAM-P02,white_tailed_deer,White-tailed Deer,0.9628,0.9436,0.9894,0.2212,False,BG-CAM-P02-20250317173422,
IE-CAM-R01-white_tailed_deer-002232,2025-03-17T19:08:52,CAM-R01,white_tailed_deer,White-tailed Deer,0.9307,0.9011,0.9951,0.3241,False,BG-CAM-R01-20250317190852,
IE-CAM-T01-white_tailed_deer-002645,2025-03-17T19:10:29,CAM-T01,white_tailed_deer,White-tailed Deer,0.917,0.8838,0.9946,0.3608,False,BG-CAM-T01-20250317191029,
IE-CAM-F01-white_tailed_deer-000261,2025-03-17T19:27:42,CAM-F01,white_tailed_deer,White-tailed Deer,0.904,0.8677,0.989,0.3934,False,BG-CAM-F01-20250317192742,
IE-CAM-T02-white_tailed_deer-002958,2025-03-17T21:27:12,CAM-T02,white_tailed_deer,White-tailed Deer,0.8851,0.8449,0.9045,0.4523,False,BG-CAM-T02-20250317212712,
IE-CAM-F01-raccoon-000148,2025-03-17T22:09:59,CAM-F01,raccoon,Raccoon,0.8197,0.7697,0.9059,0.5529,False,BG-CAM-F01-20250317220959,
IE-CAM-W01-feral_hog-003105,2025-03-17T22:57:34,CAM-W01,feral_hog,Feral Hog,0.9056,0.8697,0.8889,0.4149,False,BG-CAM-W01-20250317225734,
IE-CAM-P02-cottontail_rabbit-001564,2025-03-17T23:17:52,CAM-P02,cottontail_rabbit,Eastern Cottontail,0.8921,0.8533,0.6342,0.5046,False,BG-CAM-P02-20250317231752,
IE-CAM-T02-white_tailed_deer-002959,2025-03-18T00:20:28,CAM-T02,white_tailed_deer,White-tailed Deer,0.9378,0.9103,0.727,0.3906,False,BG-CAM-T02-20250318002028,
IE-CAM-F01-feral_hog-000023,2025-03-18T03:21:13,CAM-F01,feral_hog,Feral Hog,0.895,0.8568,0.8578,0.4441,False,BG-CAM-F01-20250318032113,
IE-CAM-P02-armadillo-001526,2025-03-18T03:40:57,CAM-P02,armadillo,Nine-banded Armadillo,0.8685,0.8253,0.7819,0.5067,False,BG-CAM-P02-20250318034057,
IE-CAM-R02-coyote-002329,2025-03-18T05:43:11,CAM-R02,coyote,Coyote,0.816,0.7656,0.9944,0.5453,False,BG-CAM-R02-20250318054311,
IE-CAM-T01-red_fox-002630,2025-03-18T06:16:26,CAM-T01,red_fox,Red Fox,0.7905,0.7377,0.999,0.5756,False,BG-CAM-T01-20250318061626,
IE-CAM-R01-turkey-002188,2025-03-18T07:12:30,CAM-R01,turkey,Wild Turkey,0.8873,0.8475,0.9835,0.4306,False,BG-CAM-R01-20250318071230,
IE-CAM-W02-white_tailed_deer-003505,2025-03-18T07:22:23,CAM-W02,white_tailed_deer,White-tailed Deer,0.8708,0.828,0.9908,0.4608,False,BG-CAM-W02-20250318072223,
IE-CAM-P02-white_tailed_deer-001629,2025-03-18T07:36:42,CAM-P02,white_tailed_deer,White-tailed Deer,0.9518,0.9287,0.9853,0.2622,False,BG-CAM-P02-20250318073642,
